n,Precision,Precision_std,Recall,Recall_std,F1-score,F1-score_std
50,0.032000,0.016000,0.109524,0.051199,0.049519,0.024399
7,0.142857,0.127775,0.067619,0.059659,0.152958,0.040814
18,0.088889,0.044444,0.109524,0.051199,0.098106,0.047634
36,0.044444,0.022222,0.109524,0.051199,0.063216,0.031020
72,0.025000,0.013608,0.122857,0.062987,0.041540,0.022393
