NKX6-2, 0.0008928707683662747
GPR65, 0.0005761967689322129
BBIP1, 0.00045849361755046213
DEFB118, 0.0004075183201676285
LZTFL1, 0.0003542395746961635
CALHM1, 0.00033739170087659866
GUCY2F, 0.00028228013083611553
OR6C1, 0.000279510313630392
IFT43, 0.0002691181865097479
NRXN1, 0.00026439088512854666
VGLL2, 0.00025768357654648566
DOC2A, 0.00025412372723687297
CCDC144A, 0.00025147699235497943
PTN, 0.00024706035511250614
STPG2, 0.00024205329596677726
ALG14, 0.00024138278165212657
NME3, 0.00024098140571802634
C1RL, 0.00023524798067752641
FAM84A, 0.00023523474385438276
BHMT, 0.00023160480760582895
OR6A2, 0.0002231600374436692
EMB, 0.00020937363507597684
CASP4, 0.0002037256484610422
GRK1, 0.00020063463825618268
RNASE11, 0.0001976453974530552
STOML3, 0.0001957296264362801
PIWIL1, 0.00019572953868425612
BLCAP, 0.00019480374215277637
SSX2IP, 0.00019463406547850988
PRR5-ARHGAP8, 0.0001920759828810588
KCNC1, 0.00019206949665526087
NME2P1, 0.00019091287640288468
KIAA1429, 0.0001891464203325297
ACSL6, 0.0001886061925009752
ALDOB, 0.0001879148061279164
WDR35, 0.0001860010127706686
CLK1, 0.00018555764438784315
PCM1, 0.00018544636360182698
OSCAR, 0.0001845321504157601
PTF1A, 0.00018358250953252303
ZNF248, 0.00018221580187513132
C15orf32, 0.00018221423550834377
TRIM44, 0.0001780335114705953
ORMDL3, 0.00017767880199111427
CALCA, 0.00017756661872971914
NANOG, 0.00017650856680942817
WDR64, 0.00017643654904227486
C11orf31, 0.00017580244541899368
CLOCK, 0.00017575831557251236
RAB7B, 0.00017533593579588811
GHRH, 0.00017243479466803202
SNAPC4, 0.00017130874828913176
FIZ1, 0.00017117988425284953
SLC34A3, 0.000168695338191619
ARHGAP26, 0.0001682588909730036
PNMA2, 0.00016605667416823435
PPARGC1B, 0.00016298643648246573
OR1L3, 0.00016137795953696763
CTBP2, 0.00016077163480320372
ADRBK1, 0.00016055325666407375
RPL4P5, 0.0001598110438264367
TOM1L2, 0.00015874514469017598
OR51E1, 0.00015779914774389876
PJA2, 0.00015750930930319486
RNF123, 0.00015691528512890203
KCNF1, 0.00015682746732523229
SYN2, 0.0001565407226038034
PDE6D, 0.0001564074953733648
POU5F1, 0.00015630916982050858
HAPLN1, 0.00015586482298169413
POC1B-GALNT4, 0.0001558643779960065
CD47, 0.00015555468278653515
ARR3, 0.00015541450039956604
FTL, 0.00015521063024053687
COX16, 0.00015520683283162798
TLCD2, 0.00015309147385895823
ZHX1-C8orf76, 0.00015240561046589579
PIPSL, 0.00015221600698414565
SLC4A1, 0.0001504600380572318
USP49, 0.00015004167694486988
SNX21, 0.00014887809484646355
LPA, 0.00014887527094136844
KIFC2, 0.00014877839447861323
TRIM52, 0.00014831620935427784
TSPAN15, 0.0001478468659830537
ZNF747, 0.00014728884187057377
C6orf226, 0.00014715431362848026
THBS3, 0.00014667344974267544
TMEM132D, 0.00014606552665146128
PHTF1, 0.00014596809577350415
TULP3, 0.00014540923192927612
INSL4, 0.0001448065802212578
GNAI1, 0.0001441078552999185
DNAJC7, 0.00014330030769480972
OR6B1, 0.00014264606887578126
SLC27A1, 0.0001425848888824346
HNRNPL, 0.0001424906677240223
IFT122, 0.00014207962958795494
DDX58, 0.00014204006885656077
RIMS3, 0.00014185389473738108
